URL,Restaurante,Endereco,Bairro,Cidade,UF,CEP,Data_Scraping
https://www.ifood.com.br/delivery/uberlandia-mg/madero---center-shopping-uberlandia-tibery/2ad4500b-dd80-43f8-8759-62d33e3fdeec,Madero - Center Shopping Uberlandia,"Av. João Naves de Ávila, 1331",Tibery,Uberlandia,MG,38408-902,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cantinho-da-coxinha-delivery-express-chacaras-tubalina-e-quartel/7065b1da-c768-4842-86be-bca0fc80a799,Cantinho da Coxinha (delivery Express),"Rua Joaquim Leal de Camargos, 560",Chácaras Tubalina e Quartel,Uberlandia,MG,38413-303,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/crunchy-pizza-express-santa-monica/16dcf10b-7777-4a89-a2c5-9061412d94a2,Crunchy Pizza Express,"Avenida Segismundo Pereira, 790",Santa Mônica,Uberlandia,MG,38408-170,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/giraffas-center-shopping-uberlandia-tibery/c29de3e1-0f1a-43cb-9db4-bc54d8cb7d76,Giraffas Center Shopping Uberlândia,"Av. João Naves de Ávila, 1331",Tibery,Uberlandia,MG,38405-140,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/potiguar---uberlandia-morada-da-colina/36dd15f7-b54c-443a-a636-105691b3ce4a,Potiguar - Uberlândia,"Avenida Rondon Pacheco, 1020",Morada da Colina,Uberlandia,MG,38411-001,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cantinho-doce-santa-monica/a3bd9ce2-6d32-4bef-8cb1-3df8702ed8a9,Cantinho Doce,"Av. Belarmino Cotta Pacheco, 1136",Santa Mônica,Uberlandia,MG,38408-168,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/carol-coxinhas-uberlandia---salgados-e-lanches-incriveis-luizote-de-freitas/177fd81b-5ada-4e34-8b23-63f0c31dcb2d,Carol Coxinhas Uberlândia - Salgados e Lanches Incríveis,"Avenida José Fonseca e Silva, 549",Luizote de Freitas,Uberlandia,MG,48414-387,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/dona-baunilha-uberlandia-lidice/692dd04f-f288-4d88-8ff9-3c8cf17665cd,Dona Baunilha Uberlândia,"Rua Duque de Caxias, 998",Lidice,Uberlandia,MG,38400-144,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/recanto-golfinho-peixes-e-frutos-do-mar-saraiva/827481ce-7799-42ef-ad45-224d946ce943,Recanto Golfinho Peixes e Frutos do Mar,"Avenida Rondon Pacheco, 2360",Saraiva,Uberlândia,MG,38408-404,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/berrys---o-melhor-sorvete-artesanal-lidice/47191f29-1097-46cd-a3a4-47bf6b00855e,Berry's - o Melhor Sorvete Artesanal,"Avenida Rondon Pacheco, 3145",Lidice,Uberlandia,MG,38400-050,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/baus-vinhedos---saladas-sanduiches-marmita-fit-jardim-karaiba/8dd2e913-d28d-4966-b6c6-4d4bca808b42,Baus Vinhedos - Saladas Sanduíches Marmita Fit,"Avenida dos Vinhedos, 50",Jardim Karaíba,Uberlandia,MG,38411-217,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/e-de-casa---marmitaria-premium-santa-monica/172097c7-d667-4dcd-87ad-253f5345f183,É de Casa - Marmitaria Premium,"Avenida Salomão Abrahão, 1305",Santa Mônica,Uberlandia,MG,38408-261,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/blessed-acai-lux-luizote-de-freitas/9906eef0-ac9b-41ac-bc6e-d9b09faeef93,Blessed Açai Lux,"Rua Sebastião Vieira da Mota, 33",Luizote de Freitas,Uberlandia,MG,38414-352,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/burritos-hermanos-fast-food-mexicano---lanches-express-osvaldo-rezende/51ab30b5-1262-4a75-bf93-655509fcee66,Burritos Hermanos Fast-Food Mexicano - Lanches Express!,"Rua Eduardo Marquez, 505",Osvaldo Rezende,Uberlandia,MG,38400-442,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/ditto-acai-martins/35a11a39-b8ac-495b-87af-a0d723b4f81f,Ditto Açaí,"Avenida Sacramento, 714",Martins,Uberlandia,MG,38400-466,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/sol-caldos-nossa-senhora-aparecida/98843b38-4ca3-45b5-9f37-c9de9936853e,Sol Caldos,"Rua Niterói, 1045",Nossa Senhora Aparecida,Uberlandia,MG,38400-769,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/acai-do-casal-pacaembu/fad6b25b-aae1-46a2-957c-5d493d6f37ff,Açai do Casal,"Rua 7 de Setembro, 13",Pacaembu,Uberlandia,MG,38401-543,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/iaca-acai-presidente-roosevelt/ba6abf6a-c0ff-40f9-a4db-c76647236ea3,Iaçã Açaí,"Av. Cleanto Vieira Gonçalves, 169",Presidente Roosevelt,Uberlandia,MG,38401-195,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/bacio-di-latte---uberlandia-centro/cf0e03fc-10e3-48b8-9110-7821843bb8f2,Bacio Di Latte - Uberlândia,"Av Joao Naves de Avila, 1331",Centro,Uberlandia,MG,38400-042,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/kuatipuru-crepe-e-acai-saraiva/ef56a089-5981-4b08-ae3e-fc674ee217b9,Kuatipuru Crepe e Açaí,"Avenida João Naves de Ávila, 1331",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/a-pizza-das-galaxias-santa-monica/6b079541-2855-4016-bc0f-ccc436068aed,A Pizza das Galáxias,"Avenida Segismundo Pereira, 790",Santa Mônica,Uberlandia,MG,38408-170,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/lindt--center-shopping-uberlandia-tibery/8b23e153-3a13-4fa4-8705-3d5bd97a1c06,Lindt – Center Shopping Uberlândia,"Av João Naves de Avila, 1331",Tibery,Uberlandia,MG,08405-140,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/restaurante-e-lanchonete-ramos-osvaldo-rezende/89032613-c450-408b-aba1-838eee29a80c,Restaurante e Lanchonete Ramos,"Rua Indianópolis, 1012",Osvaldo Rezende,Uberlandia,MG,38400-474,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cantinho-do-gege-centro/d5056b44-ff19-4109-a751-fd573546aefd,Cantinho do Gege,"Rua Ipiranga, 516",Centro,Uberlandia,MG,38400-036,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/divina-gula-segismundo-pereira/f06599c3-185d-4682-ae49-41f5ebd538aa,Divina Gula,"Av. José Marçal Neto, 41",Segismundo Pereira,Uberlandia,MG,38408-334,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/marmitaria-baronesa-santa-monica/f0caaf3f-66ef-4748-815e-1992c04fb8a2,Marmitaria Baronesa,"Avenida Professora Juvenília dos Santos, 799",Santa Mônica,Uberlandia,MG,38408-216,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/deia-fit-tubalina/1f711af3-72cb-4562-97df-497e1b7e140e,Déia Fit,"Rua Sebastiana Vieira dos Santos, 351",Tubalina,Uberlandia,MG,38412-090,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/frango-chic-saraiva/c7e3a254-2779-4f0f-83e6-7b2031456ad7,Frango Chic,"Avenida João Naves de Ávila, 3300",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/marie-salgados---coxinhas--brownies---loja-1-saraiva/c9ef4231-d367-44da-aa3f-6e9fa3540c2b,Mariê Salgados / Coxinhas & Brownies - Loja 1,"Rua Tabajaras, 886",Saraiva,Uberlandia,MG,38408-408,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/american-cookies---patio-sabia-tibery/00b3027d-e247-4351-a742-dbd5c7e8a223,American Cookies - Pátio Sabiá,"Avenida Bélgica, 1220",Tibery,Uberlandia,MG,38405-030,2025-06-15 15:15:41
